"","Crop","Year","State","Area","Production","Yield"
"1","Pearl Millet (Bajra)",1967,"All India",12807.5,5184.9,404.833
"2","Pearl Millet (Bajra)",1968,"All India",12051.8,3801.8,315.455
"3","Pearl Millet (Bajra)",1969,"All India",12492.8,5326.8,426.39
"4","Pearl Millet (Bajra)",1970,"All India",12913.4,8028.8,621.742
"5","Pearl Millet (Bajra)",1972,"All India",11816.8,3929.4,332.527
"6","Pearl Millet (Bajra)",1974,"All India",11258.1,3271.9,290.626
"7","Pearl Millet (Bajra)",1975,"All India",11571.3,5735.8,1031.239
"8","Pearl Millet (Bajra)",1977,"All India",11103.8,4730.2,425.998
"9","Pearl Millet (Bajra)",1978,"All India",11392.9,5566.4,488.585
"10","Pearl Millet (Bajra)",1979,"All India",10579.3,4047.9,382.625
"11","Pearl Millet (Bajra)",1980,"All India",11657.1,5343,458.347
"12","Pearl Millet (Bajra)",1981,"All India",11783.9,5537.3,469.904
"13","Pearl Millet (Bajra)",1982,"All India",10942.2,5131.2,468.937
"14","Pearl Millet (Bajra)",1983,"All India",11832.4,7725.9,652.944
"15","Pearl Millet (Bajra)",1985,"All India",10651.8,3663.8,343.961
"16","Pearl Millet (Bajra)",1986,"All India",11266,4513.5,400.63
"17","Pearl Millet (Bajra)",1988,"All India",12045.7,7779.7,645.849
"18","Pearl Millet (Bajra)",1989,"All India",10899.5,6649.1,610.037
"19","Pearl Millet (Bajra)",1990,"All India",10476.4,6893.8,658.031
"20","Pearl Millet (Bajra)",1991,"All India",10027.5,4665,465.221
"21","Pearl Millet (Bajra)",1993,"All India",9905.7,4973.5,502.085
"22","Pearl Millet (Bajra)",1994,"All India",10222.5,7159.2,700.337
"23","Pearl Millet (Bajra)",1996,"All India",9980.2,7870.2,788.581
"24","Pearl Millet (Bajra)",1997,"All India",9887.7,7644.4,773.122
"25","Pearl Millet (Bajra)",1998,"All India",9297.2,6955.6,748.139
"26","Pearl Millet (Bajra)",1999,"All India",8897.1,5782.2,649.897
"27","Pearl Millet (Bajra)",2001,"All India",9529.1,8284,869.337
"28","Pearl Millet (Bajra)",2002,"All India",7739.8,4718.9,609.693
"29","Pearl Millet (Bajra)",2003,"All India",10612.3,12109.3,1141.063
"30","Pearl Millet (Bajra)",2004,"All India",9232.9,7931.3,859.026
"31","Pearl Millet (Bajra)",2005,"All India",9581.2,7684,801.987
"32","Pearl Millet (Bajra)",2007,"All India",9571.3,9970.1,1041.666
"33","Pearl Millet (Bajra)",2008,"All India",8752.5,8887.1,1015.378
"34","Pearl Millet (Bajra)",2009,"All India",8904.174,6506.412,730.715
"35","Pearl Millet (Bajra)",2010,"All India",9612.338,10369.9,1078.811
"36","Pearl Millet (Bajra)",2011,"All India",8776.7,10276,1170.827
"37","Pearl Millet (Bajra)",2012,"All India",7297.417,8741.982,1197.956
"38","Pearl Millet (Bajra)",2013,"All India",7810.715,9250.085,1184.281
"39","Pearl Millet (Bajra)",2014,"All India",7317.95,9184.22,1255.026
"40","Pearl Millet (Bajra)",2015,"All India",7128.611,8066.634,1131.586
"41","Pearl Millet (Bajra)",2016,"All India",7458.501,9729.843,1304.531
"42","Pearl Millet (Bajra)",2019,"All India",7542.68,10362.68,1374
"43","Pearl Millet (Bajra)",1968,"Andhra Pradesh",572.3,232.4,406.081
"44","Pearl Millet (Bajra)",1969,"Andhra Pradesh",601.9,320,531.65
"45","Pearl Millet (Bajra)",1970,"Andhra Pradesh",584,290.1,496.747
"46","Pearl Millet (Bajra)",1971,"Andhra Pradesh",522,228.2,437.165
"47","Pearl Millet (Bajra)",1972,"Andhra Pradesh",505.9,179.8,355.406
"48","Pearl Millet (Bajra)",1973,"Andhra Pradesh",582.4,365.2,627.06
"49","Pearl Millet (Bajra)",1974,"Andhra Pradesh",577.8,307.9,532.883
"50","Pearl Millet (Bajra)",1975,"Andhra Pradesh",622.3,351.1,564.197
"51","Pearl Millet (Bajra)",1976,"Andhra Pradesh",562.5,244.9,435.378
"52","Pearl Millet (Bajra)",1977,"Andhra Pradesh",568.4,378.3,665.552
"53","Pearl Millet (Bajra)",1979,"Andhra Pradesh",451.8,295.4,653.829
"54","Pearl Millet (Bajra)",1981,"Andhra Pradesh",543.6,443.5,815.857
"55","Pearl Millet (Bajra)",1982,"Andhra Pradesh",492.4,259.4,526.807
"56","Pearl Millet (Bajra)",1983,"Andhra Pradesh",492.7,360.8,732.291
"57","Pearl Millet (Bajra)",1985,"Andhra Pradesh",356.3,209.5,587.988
"58","Pearl Millet (Bajra)",1986,"Andhra Pradesh",336,195.8,582.738
"59","Pearl Millet (Bajra)",1987,"Andhra Pradesh",311.7,155.9,500.16
"60","Pearl Millet (Bajra)",1988,"Andhra Pradesh",281.9,196.5,697.056
"61","Pearl Millet (Bajra)",1989,"Andhra Pradesh",258.3,181.6,703.058
"62","Pearl Millet (Bajra)",1990,"Andhra Pradesh",231.4,167.7,724.719
"63","Pearl Millet (Bajra)",1991,"Andhra Pradesh",192,135.2,704.167
"64","Pearl Millet (Bajra)",1992,"Andhra Pradesh",170.8,128.6,752.927
"65","Pearl Millet (Bajra)",1993,"Andhra Pradesh",143.2,110.7,773.045
"66","Pearl Millet (Bajra)",1995,"Andhra Pradesh",133.3,127.2,954.239
"67","Pearl Millet (Bajra)",1996,"Andhra Pradesh",132,122,924.242
"68","Pearl Millet (Bajra)",1997,"Andhra Pradesh",96,67,697.917
"69","Pearl Millet (Bajra)",1999,"Andhra Pradesh",117,98,837.607
"70","Pearl Millet (Bajra)",2000,"Andhra Pradesh",143,149,1041.958
"71","Pearl Millet (Bajra)",2001,"Andhra Pradesh",91.5,71,775.956
"72","Pearl Millet (Bajra)",2003,"Andhra Pradesh",138,148,1072.464
"73","Pearl Millet (Bajra)",2004,"Andhra Pradesh",94,81,861.702
"74","Pearl Millet (Bajra)",2005,"Andhra Pradesh",81,82,1012.346
"75","Pearl Millet (Bajra)",2006,"Andhra Pradesh",61,47,770.492
"76","Pearl Millet (Bajra)",2007,"Andhra Pradesh",74,92,1243.243
"77","Pearl Millet (Bajra)",2008,"Andhra Pradesh",59,60,1016.949
"78","Pearl Millet (Bajra)",2009,"Andhra Pradesh",45,53,1177.778
"79","Pearl Millet (Bajra)",2011,"Andhra Pradesh",32,58,1812.5
"80","Pearl Millet (Bajra)",2012,"Andhra Pradesh",57,111,1947.368
"81","Pearl Millet (Bajra)",2013,"Andhra Pradesh",38.76,7,180.599
"82","Pearl Millet (Bajra)",2014,"Andhra Pradesh",28,8,285.714
"83","Pearl Millet (Bajra)",2015,"Andhra Pradesh",36,9,250
"84","Pearl Millet (Bajra)",2016,"Andhra Pradesh",42,10,238.095
"85","Pearl Millet (Bajra)",2017,"Andhra Pradesh",48,11,229.167
"86","Pearl Millet (Bajra)",2018,"Andhra Pradesh",22,22.682,1031
"87","Pearl Millet (Bajra)",2019,"Andhra Pradesh",25,58.2,2328
"88","Pearl Millet (Bajra)",1966,"Bihar",13,5.4,415.385
"89","Pearl Millet (Bajra)",1967,"Bihar",12.9,9,697.674
"90","Pearl Millet (Bajra)",1968,"Bihar",16.4,7.3,445.122
"91","Pearl Millet (Bajra)",1969,"Bihar",15,7.5,500
"92","Pearl Millet (Bajra)",1970,"Bihar",13.5,8,592.593
"93","Pearl Millet (Bajra)",1971,"Bihar",10.8,5,462.963
"94","Pearl Millet (Bajra)",1972,"Bihar",15.6,8.2,525.641
"95","Pearl Millet (Bajra)",1974,"Bihar",15.9,6.1,383.648
"96","Pearl Millet (Bajra)",1976,"Bihar",19.8,7.9,398.99
"97","Pearl Millet (Bajra)",1977,"Bihar",13.4,5.4,402.985
"98","Pearl Millet (Bajra)",1978,"Bihar",13,5,384.615
"99","Pearl Millet (Bajra)",1979,"Bihar",12.2,6,491.803
"100","Pearl Millet (Bajra)",1980,"Bihar",12.7,6.6,519.685
"101","Pearl Millet (Bajra)",1981,"Bihar",12.6,5.8,460.317
"102","Pearl Millet (Bajra)",1982,"Bihar",11.1,5.4,486.486
"103","Pearl Millet (Bajra)",1983,"Bihar",12.1,7.6,628.099
"104","Pearl Millet (Bajra)",1984,"Bihar",11.5,7.6,660.87
"105","Pearl Millet (Bajra)",1985,"Bihar",11,6.7,609.091
"106","Pearl Millet (Bajra)",1987,"Bihar",10.4,5.1,490.385
"107","Pearl Millet (Bajra)",1988,"Bihar",9.7,6.5,670.103
"108","Pearl Millet (Bajra)",1989,"Bihar",9.6,4.7,489.583
"109","Pearl Millet (Bajra)",1992,"Bihar",7.3,3.8,520.548
"110","Pearl Millet (Bajra)",1993,"Bihar",8.8,5.1,579.545
"111","Pearl Millet (Bajra)",1994,"Bihar",8.1,4.8,592.593
"112","Pearl Millet (Bajra)",1995,"Bihar",7.4,4.2,567.568
"113","Pearl Millet (Bajra)",1996,"Bihar",6.4,3.7,578.125
"114","Pearl Millet (Bajra)",1997,"Bihar",5.9,3.5,593.22
"115","Pearl Millet (Bajra)",1998,"Bihar",6.2,3.6,580.645
"116","Pearl Millet (Bajra)",1999,"Bihar",5.8,3.6,620.69
"117","Pearl Millet (Bajra)",2000,"Bihar",1.5,1.3,866.667
"118","Pearl Millet (Bajra)",2001,"Bihar",0.8,0.6,750
"119","Pearl Millet (Bajra)",2002,"Bihar",1,1,1000
"120","Pearl Millet (Bajra)",2003,"Bihar",1.6,1.6,1000
"121","Pearl Millet (Bajra)",2004,"Bihar",1.2,1.3,1083.333
"122","Pearl Millet (Bajra)",2005,"Bihar",4.3,4.6,1069.767
"123","Pearl Millet (Bajra)",2006,"Bihar",4.1,4.4,1073.171
"124","Pearl Millet (Bajra)",2007,"Bihar",9,10,1111.111
"125","Pearl Millet (Bajra)",2009,"Bihar",2.95,3.27,1108.475
"126","Pearl Millet (Bajra)",2011,"Bihar",4.5,5.01,1113.333
"127","Pearl Millet (Bajra)",2012,"Bihar",4.24,4.84,1141.509
"128","Pearl Millet (Bajra)",2014,"Bihar",3.29,38,11550.152
"129","Pearl Millet (Bajra)",2015,"Bihar",4.095,65,15873.016
"130","Pearl Millet (Bajra)",2017,"Bihar",4.379,92.496,21122.631
"131","Pearl Millet (Bajra)",2000,"Chattisgarh",0.1,60,2545
"132","Pearl Millet (Bajra)",2001,"Chattisgarh",0.1,5.4,401
"133","Pearl Millet (Bajra)",2003,"Chattisgarh",153.9,145,1360.714
"134","Pearl Millet (Bajra)",2005,"Chattisgarh",15.4,0.1,2328
"135","Pearl Millet (Bajra)",2007,"Chattisgarh",0.1,0.1,1000
"136","Pearl Millet (Bajra)",2008,"Chattisgarh",0.1,1.3,366.667
"137","Pearl Millet (Bajra)",2009,"Chattisgarh",14.11,6.4,600
"138","Pearl Millet (Bajra)",2010,"Chattisgarh",0.4,7.443,1015.378
"139","Pearl Millet (Bajra)",2011,"Chattisgarh",0.2,1.73,8972500
"140","Pearl Millet (Bajra)",2012,"Chattisgarh",0.1,114.45,2323.529
"141","Pearl Millet (Bajra)",2013,"Chattisgarh",0.4,3,1454.751
"142","Pearl Millet (Bajra)",2014,"Chattisgarh",0.1,3.73,37300
"143","Pearl Millet (Bajra)",2015,"Chattisgarh",0.1,4.639,1020
"144","Pearl Millet (Bajra)",2016,"Chattisgarh",0.1,4.045,40450
"145","Pearl Millet (Bajra)",2017,"Chattisgarh",8.4,4.966,332.527
"146","Pearl Millet (Bajra)",2018,"Chhattisgarh",0.06,0.027,449
"147","Pearl Millet (Bajra)",2019,"Chhattisgarh",15.6,4.4,491.803
"148","Pearl Millet (Bajra)",1993,"Dadra Nagar Haveli",0.054,0.5,2591
"149","Pearl Millet (Bajra)",1994,"Dadra Nagar Haveli",0.088,0.5,402
"150","Pearl Millet (Bajra)",2013,"Dadra Nagar Haveli",6.2,0.39,730.715
"151","Pearl Millet (Bajra)",2014,"Dadra Nagar Haveli",13.4,2,556.086
"152","Pearl Millet (Bajra)",2015,"Dadra Nagar Haveli",13.869,0.594,1800
"153","Pearl Millet (Bajra)",2017,"Dadra Nagar Haveli",1.1,0.579,675.036
"154","Pearl Millet (Bajra)",1976,"Daman & Diu",0.5,0.7,1400
"155","Pearl Millet (Bajra)",1977,"Daman & Diu",0.5,1,2000
"156","Pearl Millet (Bajra)",1978,"Daman & Diu",0.5,0.9,1800
"157","Pearl Millet (Bajra)",1979,"Daman & Diu",0.3,0.5,1666.667
"158","Pearl Millet (Bajra)",1980,"Daman & Diu",0.3,0.4,1333.333
"159","Pearl Millet (Bajra)",1983,"Daman & Diu",0.3,0.4,1333.333
"160","Pearl Millet (Bajra)",1984,"Daman & Diu",0.3,0.5,1666.667
"161","Pearl Millet (Bajra)",1985,"Daman & Diu",0.3,0.4,1333.333
"162","Pearl Millet (Bajra)",1987,"Daman & Diu",0.3,0.6,2000
"163","Pearl Millet (Bajra)",1988,"Daman & Diu",0.3,4.5,15000
"164","Pearl Millet (Bajra)",1989,"Daman & Diu",9.7,0.1,653.075
"165","Pearl Millet (Bajra)",1990,"Daman & Diu",0.3,0.6,2000
"166","Pearl Millet (Bajra)",1992,"Daman & Diu",0.3,0.5,1666.667
"167","Pearl Millet (Bajra)",2007,"Daman & Diu",0.3,0.5,1666.667
"168","Pearl Millet (Bajra)",2008,"Daman & Diu",1.9,3.8,2000
"169","Pearl Millet (Bajra)",2009,"Daman & Diu",0.3,0.5,1666.667
"170","Pearl Millet (Bajra)",2010,"Daman & Diu",0.3,0.4,1333.333
"171","Pearl Millet (Bajra)",2012,"Daman & Diu",0.28,0.381,1360.714
"172","Pearl Millet (Bajra)",2014,"Daman & Diu",0.51,3.24,6352.941
"173","Pearl Millet (Bajra)",2015,"Daman & Diu",0.434,3.817,8794.931
"174","Pearl Millet (Bajra)",2017,"Daman & Diu",0.434,3.256,7502.198
"175","Pearl Millet (Bajra)",2018,"Daman & Diu",0.496,0.648,1306
"176","Pearl Millet (Bajra)",2019,"Daman & Diu",0.325,0.374,1150
"177","Pearl Millet (Bajra)",1966,"Delhi",17,11.2,658.824
"178","Pearl Millet (Bajra)",1967,"Delhi",20.1,7.6,378.109
"179","Pearl Millet (Bajra)",1968,"Delhi",19.1,14,732.984
"180","Pearl Millet (Bajra)",1969,"Delhi",20.8,17.6,846.154
"181","Pearl Millet (Bajra)",1970,"Delhi",23.6,23.2,983.051
"182","Pearl Millet (Bajra)",1971,"Delhi",15.5,9.6,619.355
"183","Pearl Millet (Bajra)",1972,"Delhi",9.3,7,752.688
"184","Pearl Millet (Bajra)",1973,"Delhi",22.4,17,758.929
"185","Pearl Millet (Bajra)",1974,"Delhi",20.1,7.9,393.035
"186","Pearl Millet (Bajra)",1975,"Delhi",19,7.3,384.211
"187","Pearl Millet (Bajra)",1976,"Delhi",11,5.3,481.818
"188","Pearl Millet (Bajra)",1977,"Delhi",9.5,4.6,484.211
"189","Pearl Millet (Bajra)",1978,"Delhi",15.4,7.4,480.519
"190","Pearl Millet (Bajra)",1979,"Delhi",9.3,2.7,290.323
"191","Pearl Millet (Bajra)",1980,"Delhi",10.8,11.3,1046.296
"192","Pearl Millet (Bajra)",1981,"Delhi",14.2,13.1,922.535
"193","Pearl Millet (Bajra)",1982,"Delhi",11.8,10.7,906.78
"194","Pearl Millet (Bajra)",1983,"Delhi",10.1,8.2,811.881
"195","Pearl Millet (Bajra)",1984,"Delhi",9.3,6.1,655.914
"196","Pearl Millet (Bajra)",1985,"Delhi",2.9,1.9,655.172
"197","Pearl Millet (Bajra)",1987,"Delhi",1.7,1,588.235
"198","Pearl Millet (Bajra)",1988,"Delhi",5.4,3.1,574.074
"199","Pearl Millet (Bajra)",1989,"Delhi",2.7,2.9,1074.074
"200","Pearl Millet (Bajra)",1990,"Delhi",4.8,8.2,1708.333
"201","Pearl Millet (Bajra)",1991,"Delhi",2.6,4.4,1692.308
"202","Pearl Millet (Bajra)",1992,"Delhi",3.2,2.9,906.25
"203","Pearl Millet (Bajra)",1993,"Delhi",2.8,3.5,1250
"204","Pearl Millet (Bajra)",1994,"Delhi",2.8,3.5,1250
"205","Pearl Millet (Bajra)",1995,"Delhi",3.1,4.2,1354.839
"206","Pearl Millet (Bajra)",1996,"Delhi",2.2,1.2,545.455
"207","Pearl Millet (Bajra)",1997,"Delhi",1.9,1.1,578.947
"208","Pearl Millet (Bajra)",1998,"Delhi",2.6,1.5,576.923
"209","Pearl Millet (Bajra)",1999,"Delhi",2.7,1.5,555.556
"210","Pearl Millet (Bajra)",2002,"Delhi",1.6,2.8,1750
"211","Pearl Millet (Bajra)",2003,"Delhi",2.3,4.6,2000
"212","Pearl Millet (Bajra)",2005,"Delhi",1.7,3.1,1823.529
"213","Pearl Millet (Bajra)",2006,"Delhi",1.6,2.9,1812.5
"214","Pearl Millet (Bajra)",2007,"Delhi",1.6,3,1875
"215","Pearl Millet (Bajra)",2008,"Delhi",1.5,2.9,1933.333
"216","Pearl Millet (Bajra)",2009,"Delhi",0.012,0.023,1916.667
"217","Pearl Millet (Bajra)",2010,"Delhi",2.7,5,1851.852
"218","Pearl Millet (Bajra)",2011,"Delhi",1.44,2.69,1868.056
"219","Pearl Millet (Bajra)",2012,"Delhi",0.8,1.5,1875
"220","Pearl Millet (Bajra)",2014,"Delhi",1.52,4456.12,848.156
"221","Pearl Millet (Bajra)",2015,"Delhi",1.52,0.017,11.184
"222","Pearl Millet (Bajra)",2016,"Delhi",1.497,5.8,772.417
"223","Pearl Millet (Bajra)",2018,"Delhi",1.48,3.253,2198
"224","Pearl Millet (Bajra)",1966,"Gujarat",1583,756,477.574
"225","Pearl Millet (Bajra)",1967,"Gujarat",1791.5,1182.7,660.173
"226","Pearl Millet (Bajra)",1970,"Gujarat",1782.1,1574.9,883.733
"227","Pearl Millet (Bajra)",1971,"Gujarat",1776.2,1545.1,869.891
"228","Pearl Millet (Bajra)",1972,"Gujarat",1715.6,844.1,492.014
"229","Pearl Millet (Bajra)",1974,"Gujarat",1403.1,555.7,396.052
"230","Pearl Millet (Bajra)",1975,"Gujarat",1915.7,1391,726.105
"231","Pearl Millet (Bajra)",1976,"Gujarat",1562.7,1263.3,808.409
"232","Pearl Millet (Bajra)",1977,"Gujarat",1368.9,1019.3,744.612
"233","Pearl Millet (Bajra)",1978,"Gujarat",1460.6,1553.7,1063.741
"234","Pearl Millet (Bajra)",1980,"Gujarat",1380,1221.9,885.435
"235","Pearl Millet (Bajra)",1982,"Gujarat",1394.5,1178,844.747
"236","Pearl Millet (Bajra)",1985,"Gujarat",1315.5,634.8,482.554
"237","Pearl Millet (Bajra)",1986,"Gujarat",1274.4,1026.9,805.791
"238","Pearl Millet (Bajra)",1989,"Gujarat",1331.6,1325.3,995.269
"239","Pearl Millet (Bajra)",1991,"Gujarat",1149.6,819.1,712.509
"240","Pearl Millet (Bajra)",1992,"Gujarat",1273.2,1652.2,1297.675
"241","Pearl Millet (Bajra)",1994,"Gujarat",1204.6,1272,1055.952
"242","Pearl Millet (Bajra)",1998,"Gujarat",1037.6,1280.8,1234.387
"243","Pearl Millet (Bajra)",1999,"Gujarat",926.2,850.7,918.484
"244","Pearl Millet (Bajra)",2000,"Gujarat",989.2,822.9,831.884
"245","Pearl Millet (Bajra)",2001,"Gujarat",939.8,1262.3,1343.158
"246","Pearl Millet (Bajra)",2002,"Gujarat",940.2,907,964.688
"247","Pearl Millet (Bajra)",2003,"Gujarat",1071.2,1599.9,1493.559
"248","Pearl Millet (Bajra)",2004,"Gujarat",925.2,1084.7,1172.395
"249","Pearl Millet (Bajra)",2005,"Gujarat",917,1072,1169.029
"250","Pearl Millet (Bajra)",2006,"Gujarat",937,1019,1087.513
"251","Pearl Millet (Bajra)",2008,"Gujarat",704,961,1365.057
"252","Pearl Millet (Bajra)",2009,"Gujarat",672,828,1232.143
"253","Pearl Millet (Bajra)",2010,"Gujarat",873,1091.25,1250
"254","Pearl Millet (Bajra)",2011,"Gujarat",867,1230.273,1419
"255","Pearl Millet (Bajra)",2012,"Gujarat",599,1044,1742.905
"256","Pearl Millet (Bajra)",2013,"Gujarat",694,582,569.384
"257","Pearl Millet (Bajra)",2014,"Gujarat",460,0.1,0.217
"258","Pearl Millet (Bajra)",2016,"Gujarat",431,0.043,0.099
"259","Pearl Millet (Bajra)",2017,"Gujarat",397,334,1637.972
"260","Pearl Millet (Bajra)",2018,"Gujarat",391.58,892.802,2280
"261","Pearl Millet (Bajra)",2019,"Gujarat",435.25,913.154,2098
"262","Pearl Millet (Bajra)",1966,"Haryana",893,373,417.693
"263","Pearl Millet (Bajra)",1967,"Haryana",885,459,518.644
"264","Pearl Millet (Bajra)",1968,"Haryana",872,300,344.037
"265","Pearl Millet (Bajra)",1969,"Haryana",928,516,556.034
"266","Pearl Millet (Bajra)",1972,"Haryana",904,467,516.593
"267","Pearl Millet (Bajra)",1973,"Haryana",956.4,691,722.501
"268","Pearl Millet (Bajra)",1974,"Haryana",919.2,215,233.899
"269","Pearl Millet (Bajra)",1976,"Haryana",947,548,578.669
"270","Pearl Millet (Bajra)",1977,"Haryana",886.3,284,320.433
"271","Pearl Millet (Bajra)",1979,"Haryana",834,281,336.93
"272","Pearl Millet (Bajra)",1980,"Haryana",881,484,549.376
"273","Pearl Millet (Bajra)",1981,"Haryana",852,496,582.16
"274","Pearl Millet (Bajra)",1983,"Haryana",841,552,656.361
"275","Pearl Millet (Bajra)",1984,"Haryana",750,479,638.667
"276","Pearl Millet (Bajra)",1985,"Haryana",650,317,487.692
"277","Pearl Millet (Bajra)",1987,"Haryana",470,109,231.915
"278","Pearl Millet (Bajra)",1988,"Haryana",786,958,1218.83
"279","Pearl Millet (Bajra)",1989,"Haryana",621,432,695.652
"280","Pearl Millet (Bajra)",1990,"Haryana",609,526,863.711
"281","Pearl Millet (Bajra)",1991,"Haryana",566,320,565.371
"282","Pearl Millet (Bajra)",1992,"Haryana",634,739,1165.615
"283","Pearl Millet (Bajra)",1993,"Haryana",509,329,646.365
"284","Pearl Millet (Bajra)",1994,"Haryana",584,736,1260.274
"285","Pearl Millet (Bajra)",1995,"Haryana",575,409,711.304
"286","Pearl Millet (Bajra)",1996,"Haryana",571,650,1138.354
"287","Pearl Millet (Bajra)",1997,"Haryana",584,873,1494.863
"288","Pearl Millet (Bajra)",1998,"Haryana",606,611,1008.251
"289","Pearl Millet (Bajra)",1999,"Haryana",587,582,991.482
"290","Pearl Millet (Bajra)",2000,"Haryana",608,656,1078.947
"291","Pearl Millet (Bajra)",2001,"Haryana",585,832,1422.222
"292","Pearl Millet (Bajra)",2002,"Haryana",514,458,891.051
"293","Pearl Millet (Bajra)",2003,"Haryana",626,1006,1607.029
"294","Pearl Millet (Bajra)",2004,"Haryana",569,749,1316.344
"295","Pearl Millet (Bajra)",2005,"Haryana",592,679,1146.959
"296","Pearl Millet (Bajra)",2006,"Haryana",621,1024,1648.953
"297","Pearl Millet (Bajra)",2008,"Haryana",610,1079,1768.852
"298","Pearl Millet (Bajra)",2009,"Haryana",585,932,1593.162
"299","Pearl Millet (Bajra)",2010,"Haryana",661,1185,1792.738
"300","Pearl Millet (Bajra)",2011,"Haryana",577,1177,2039.861
"301","Pearl Millet (Bajra)",2012,"Haryana",411,785,1909.976
"302","Pearl Millet (Bajra)",2014,"Haryana",383,771.4,2014.099
"303","Pearl Millet (Bajra)",2015,"Haryana",370,787.749,2129.051
"304","Pearl Millet (Bajra)",2016,"Haryana",478,931,1947.699
"305","Pearl Millet (Bajra)",2017,"Haryana",450,964.71,2143.8
"306","Pearl Millet (Bajra)",2018,"Haryana",424.7,878.28,2068
"307","Pearl Millet (Bajra)",2019,"Haryana",492.8,1019.11,2068
"308","Pearl Millet (Bajra)",1966,"Himachal Pradesh",0.1,6,1000
"309","Pearl Millet (Bajra)",1967,"Himachal Pradesh",0.1,0.7,3062.5
"310","Pearl Millet (Bajra)",1968,"Himachal Pradesh",0.1,0.3,1000
"311","Pearl Millet (Bajra)",1969,"Himachal Pradesh",0.1,6,1000
"312","Pearl Millet (Bajra)",1970,"Himachal Pradesh",0.1,0.716,449
"313","Pearl Millet (Bajra)",1996,"Himachal Pradesh",0.1,0.1,1000
"314","Pearl Millet (Bajra)",1998,"Himachal Pradesh",0.5,0.3,600
"315","Pearl Millet (Bajra)",1999,"Himachal Pradesh",0.1,0.1,1000
"316","Pearl Millet (Bajra)",2000,"Himachal Pradesh",0.1,4.6,2545
"317","Pearl Millet (Bajra)",2002,"Himachal Pradesh",0.1,0.1,1000
"318","Pearl Millet (Bajra)",2003,"Himachal Pradesh",0.3,0.2,666.667
"319","Pearl Millet (Bajra)",2004,"Himachal Pradesh",0.3,0.2,666.667
"320","Pearl Millet (Bajra)",2007,"Himachal Pradesh",0.4,0.2,500
"321","Pearl Millet (Bajra)",2008,"Himachal Pradesh",0.2,0.1,500
"322","Pearl Millet (Bajra)",2009,"Himachal Pradesh",0.121,0.131,1082.645
"323","Pearl Millet (Bajra)",2010,"Himachal Pradesh",0.2,0.1,500
"324","Pearl Millet (Bajra)",2012,"Himachal Pradesh",2.31,1.283,555.411
"325","Pearl Millet (Bajra)",2013,"Himachal Pradesh",0.77,831,1079220.779
"326","Pearl Millet (Bajra)",2015,"Himachal Pradesh",0.084,652,7761904.762
"327","Pearl Millet (Bajra)",2016,"Himachal Pradesh",0.709,964,1359661.495
"328","Pearl Millet (Bajra)",2017,"Himachal Pradesh",0.079,720.9,9125316.456
"329","Pearl Millet (Bajra)",2018,"Himachal Pradesh",0.088,0.064,730
"330","Pearl Millet (Bajra)",1966,"Jammu & Kashmir",11.2,4.3,383.929
"331","Pearl Millet (Bajra)",1969,"Jammu & Kashmir",11.4,7,614.035
"332","Pearl Millet (Bajra)",1970,"Jammu & Kashmir",19.2,11.1,578.125
"333","Pearl Millet (Bajra)",1971,"Jammu & Kashmir",19.2,11,572.917
"334","Pearl Millet (Bajra)",1972,"Jammu & Kashmir",17.4,9.2,528.736
"335","Pearl Millet (Bajra)",1973,"Jammu & Kashmir",15.2,8.2,539.474
"336","Pearl Millet (Bajra)",1974,"Jammu & Kashmir",16.7,6.5,389.222
"337","Pearl Millet (Bajra)",1975,"Jammu & Kashmir",16,10.5,656.25
"338","Pearl Millet (Bajra)",1976,"Jammu & Kashmir",15.5,9.5,612.903
"339","Pearl Millet (Bajra)",1977,"Jammu & Kashmir",15.2,9.8,644.737
"340","Pearl Millet (Bajra)",1978,"Jammu & Kashmir",15.2,11.8,776.316
"341","Pearl Millet (Bajra)",1979,"Jammu & Kashmir",16.8,10.1,601.19
"342","Pearl Millet (Bajra)",1984,"Jammu & Kashmir",17.4,6.4,367.816
"343","Pearl Millet (Bajra)",1985,"Jammu & Kashmir",17,6.2,364.706
"344","Pearl Millet (Bajra)",1986,"Jammu & Kashmir",14.8,5.3,358.108
"345","Pearl Millet (Bajra)",1988,"Jammu & Kashmir",14.5,5.4,372.414
"346","Pearl Millet (Bajra)",1989,"Jammu & Kashmir",16.9,7.9,467.456
"347","Pearl Millet (Bajra)",1990,"Jammu & Kashmir",16.9,7.9,467.456
"348","Pearl Millet (Bajra)",1991,"Jammu & Kashmir",19.6,9.5,484.694
"349","Pearl Millet (Bajra)",1992,"Jammu & Kashmir",13.3,6.7,503.759
